Date,Title,Description,Time,Type,Status,Color,Image
15.01.2024,Зустріч з письменником Іваном Коваленком,Ексклюзивна зустріч з автором бестселерів про його нову книгу "Тіні минулого". Обговорення творчого процесу та відповіді на питання читачів.,19:00,Зустріч,Завершена,orange,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
22.01.2024,Творча вправа: Написання поезії,Практичний воркшоп з написання поезії для початківців. Вивчення основних технік та створення власних віршів.,18:30,Творча вправа,Завершена,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
29.01.2024,Партнерська подія з книгарнею "Книжковий світ",Спільна подія з презентацією нових книг та зустріччю з авторами. Спеціальні знижки для учасників.,20:00,Партнерська,Завершена,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
05.02.2024,Вільний мікрофон: Вечір поезії,Відкритий мікрофон для всіх бажаючих поділитися своєю поезією. Дружня атмосфера та підтримка.,19:30,Вільний мікрофон,Завершена,purple,https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=400&h=300&fit=crop
12.02.2024,Читацький клуб: "Місто снів",Обговорення роману "Місто снів" Анни Мельник. Аналіз сюжету персонажів та основних тем.,18:00,Читацький клуб,Завершена,yellow,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
19.02.2024,Лекція: Сучасна українська література,Лекція про розвиток сучасної української літератури та її вплив на світову культуру.,19:00,Лекція,Завершена,red,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
26.02.2024,Зустріч з поетом Марією Петренко,Творча зустріч з відомою українською поеткою. Читання віршів та обговорення поетичних технік.,18:30,Зустріч,Завершена,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
05.03.2024,Творча вправа: Написання оповідання,Воркшоп з написання коротких оповідань. Практичні поради та створення власних текстів.,19:00,Творча вправа,Завершена,green,https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=400&h=300&fit=crop
12.03.2024,Партнерська подія з видавництвом "Світ книг",Презентація нових видань та зустріч з редакторами. Можливість дізнатися про процес видання книг.,20:00,Партнерська,Завершена,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
19.03.2024,Вільний мікрофон: Проза,Вечір читання прози. Всі бажаючі можуть поділитися своїми творами або улюбленими текстами.,19:30,Вільний мікрофон,Завершена,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
26.03.2024,Читацький клуб: "Тіні минулого",Обговорення роману "Тіні минулого" Івана Коваленка. Глибокий аналіз сюжету та персонажів.,18:00,Читацький клуб,Завершена,yellow,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
02.04.2024,Лекція: Класики української літератури,Лекція про творчість Тараса Шевченка та його вплив на українську літературу.,19:00,Лекція,Завершена,red,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
09.04.2024,Зустріч з письменником Дмитром Іваненко,Презентація нової книги та творча зустріч з автором. Обговорення літературних тенденцій.,18:30,Зустріч,Завершена,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
16.04.2024,Творча вправа: Літературний переклад,Воркшоп з перекладу поезії та прози. Практичні поради та вправи для перекладачів.,19:00,Творча вправа,Завершена,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
23.04.2024,Партнерська подія з бібліотекою ім. Франка,Спільна подія з бібліотекою. Презентація нових надходжень та літературна вікторина.,20:00,Партнерська,Завершена,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
30.04.2024,Вільний мікрофон: Міжнародна поезія,Вечір читання поезії різними мовами. Знайомство з поезією світу.,19:30,Вільний мікрофон,Завершена,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
07.05.2024,Зустріч з письменником Оленою Сидоренко,Презентація нової книги "Світло в темряві" та творча зустріч з автором. Обговорення літературних тенденцій та відповіді на питання.,19:00,Зустріч,Майбутня,orange,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
14.05.2024,Творча вправа: Написання роману,Практичний воркшоп з написання роману для досвідчених письменників. Структура сюжету та розвиток персонажів.,18:30,Творча вправа,Майбутня,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
21.05.2024,Партнерська подія з літературним журналом "Слово",Спільна подія з презентацією нового номера журналу та зустріччю з редакторами. Можливість опублікувати свої твори.,20:00,Партнерська,Майбутня,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
28.05.2024,Вільний мікрофон: Молоді автори,Спеціальний вечір для молодих авторів. Презентація їхніх творів та обговорення з досвідченими письменниками.,19:30,Вільний мікрофон,Майбутня,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
04.06.2024,Читацький клуб: "Світло в темряві",Обговорення роману "Світло в темряві" Олени Сидоренко. Аналіз сюжету персонажів та основних тем.,18:00,Читацький клуб,Майбутня,yellow,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
11.06.2024,Лекція: Цифрова література,Лекція про розвиток цифрової літератури та електронних книг. Вплив технологій на читання та письмо.,19:00,Лекція,Майбутня,red,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
18.06.2024,Зустріч з поетом Катериною Мороз,Творча зустріч з відомою поеткою. Презентація нової збірки віршів та обговорення поетичних технік.,18:30,Зустріч,Майбутня,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
25.06.2024,Творча вправа: Написання п'єси,Воркшоп з написання драматичних творів. Основні принципи драматургії та створення діалогів.,19:00,Творча вправа,Майбутня,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
02.07.2024,Партнерська подія з університетом,Спільна подія з літературним факультетом. Презентація студентських робіт та обговорення сучасної літератури.,20:00,Партнерська,Майбутня,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
09.07.2024,Вільний мікрофон: Літературні експерименти,Вечір експериментальної літератури. Презентація незвичайних форм та стилів письма.,19:30,Вільний мікрофон,Майбутня,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
16.07.2024,Читацький клуб: Сучасна поезія,Обговорення сучасної поезії та нових поетичних течій. Аналіз творів молодих поетів.,18:00,Читацький клуб,Майбутня,yellow,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
23.07.2024,Лекція: Літературна критика,Лекція про мистецтво літературної критики. Як аналізувати твори та писати рецензії.,19:00,Лекція,Майбутня,red,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
30.07.2024,Зустріч з перекладачем Володимиром Ковалем,Творча зустріч з відомим перекладачем. Обговорення мистецтва перекладу та його впливу на літературу.,18:30,Зустріч,Майбутня,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
06.08.2024,Творча вправа: Написання есе,Воркшоп з написання літературних есе. Практичні поради та створення власних текстів.,19:00,Творча вправа,Майбутня,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
13.08.2024,Партнерська подія з міжнародним фестивалем,Спільна подія з міжнародним літературним фестивалем. Презентація зарубіжних авторів та культурний обмін.,20:00,Партнерська,Майбутня,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
20.08.2024,Зустріч з письменником Андрієм Малим,Презентація нової книги "Нові горизонти" та творча зустріч з автором. Обговорення сучасних літературних тенденцій.,19:00,Зустріч,Активна,orange,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
27.08.2024,Творча вправа: Написання детективу,Воркшоп з написання детективних романів. Структура сюжету та створення інтриги.,18:30,Творча вправа,Активна,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
03.09.2024,Партнерська подія з кінотеатром "Літературний екран",Спільна подія з показом фільмів за мотивами літературних творів. Обговорення адаптацій.,20:00,Партнерська,Активна,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
10.09.2024,Вільний мікрофон: Фантастика,Вечір фантастичної літератури. Презентація творів у жанрі фантастики та фентезі.,19:30,Вільний мікрофон,Активна,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
17.09.2024,Читацький клуб: "Нові горизонти",Обговорення роману "Нові горизонти" Андрія Малого. Аналіз сюжету та персонажів.,18:00,Читацький клуб,Активна,yellow,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
24.09.2024,Лекція: Жанрова література,Лекція про розвиток жанрової літератури в Україні. Детективи фантастика та інші жанри.,19:00,Лекція,Активна,red,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
01.10.2024,Зустріч з письменником Іриною Коваль,Презентація нової збірки оповідань та творча зустріч з автором. Обговорення короткої прози.,18:30,Зустріч,Активна,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
08.10.2024,Творча вправа: Написання коміксів,Воркшоп з створення літературних коміксів. Синтез тексту та візуального мистецтва.,19:00,Творча вправа,Активна,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
15.10.2024,Партнерська подія з художньою галереєю,Спільна подія з художньою галереєю. Презентація ілюстрацій до літературних творів.,20:00,Партнерська,Активна,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
22.10.2024,Вільний мікрофон: Дитяча література,Вечір дитячої літератури. Презентація творів для дітей та підлітків.,19:30,Вільний мікрофон,Активна,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
29.10.2024,Читацький клуб: "Дитячі історії",Обговорення дитячих книг та їх впливу на розвиток читацької культури.,18:00,Читацький клуб,Активна,yellow,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
05.11.2024,Лекція: Ілюстрація в літературі,Лекція про роль ілюстрацій у літературних творах. Візуальне доповнення тексту.,19:00,Лекція,Активна,red,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
12.11.2024,Зустріч з ілюстратором Марією Петренко,Творча зустріч з відомою ілюстраторкою. Обговорення процесу створення ілюстрацій до книг.,18:30,Зустріч,Активна,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
19.11.2024,Творча вправа: Аудіокниги,Воркшоп з створення аудіокниг. Техніки читання та озвучування літературних творів.,19:00,Творча вправа,Активна,green,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&h=300&fit=crop
26.11.2024,Партнерська подія з радіостанцією,Спільна подія з радіостанцією. Презентація аудіокниг та літературних програм.,20:00,Партнерська,Активна,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop
03.12.2024,Вільний мікрофон: Різдвяні історії,Вечір різдвяних літературних творів. Презентація святкових оповідань та поезій.,19:30,Вільний мікрофон,Активна,purple,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
10.12.2024,Читацький клуб: "Різдвяні твори",Обговорення різдвяної літератури та її традицій в українській культурі.,18:00,Читацький клуб,Активна,yellow,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=300&fit=crop
17.12.2024,Лекція: Літературні традиції,Лекція про літературні традиції та їх розвиток в сучасному світі.,19:00,Лекція,Активна,red,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=300&fit=crop
24.12.2024,Зустріч з письменником Віктором Іваненко,Презентація нової книги "Святкові історії" та творча зустріч з автором. Обговорення святкової літератури.,18:30,Зустріч,Активна,orange,https://images.unsplash.com/photo-1494790108755-2616b612b786?w=400&h=300&fit=crop
31.12.2024,Новорічний літературний вечір,Святковий вечір з презентацією нових книг та творчими виступами. Зустріч Нового року в літературному стилі.,20:00,Святкова подія,Активна,blue,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=300&fit=crop 
