Date,Title,Description,Time,Type,Status,Color
15.01.2024,Зустріч з письменником Іваном Коваленком,Ексклюзивна зустріч з автором бестселерів про його нову книгу "Тіні минулого". Обговорення творчого процесу та відповіді на питання читачів.,19:00,Зустріч,Завершена,orange
22.01.2024,Творча вправа: Написання поезії,Практичний воркшоп з написання поезії для початківців. Вивчення основних технік та створення власних віршів.,18:30,Творча вправа,Завершена,green
29.01.2024,Партнерська подія з книгарнею "Книжковий світ",Спільна подія з презентацією нових книг та зустріччю з авторами. Спеціальні знижки для учасників.,20:00,Партнерська,Завершена,blue
05.02.2024,Вільний мікрофон: Вечір поезії,Відкритий мікрофон для всіх бажаючих поділитися своєю поезією. Дружня атмосфера та підтримка.,19:30,Вільний мікрофон,Завершена,purple
12.02.2024,Читацький клуб: "Місто снів",Обговорення роману "Місто снів" Анни Мельник. Аналіз сюжету персонажів та основних тем.,18:00,Читацький клуб,Завершена,yellow
19.02.2024,Лекція: Сучасна українська література,Лекція про розвиток сучасної української літератури та її вплив на світову культуру.,19:00,Лекція,Завершена,red
26.02.2024,Зустріч з поетом Марією Петренко,Творча зустріч з відомою українською поеткою. Читання віршів та обговорення поетичних технік.,18:30,Зустріч,Завершена,orange
05.03.2024,Творча вправа: Написання оповідання,Воркшоп з написання коротких оповідань. Практичні поради та створення власних текстів.,19:00,Творча вправа,Завершена,green
12.03.2024,Партнерська подія з видавництвом "Світ книг",Презентація нових видань та зустріч з редакторами. Можливість дізнатися про процес видання книг.,20:00,Партнерська,Завершена,blue
19.03.2024,Вільний мікрофон: Проза,Вечір читання прози. Всі бажаючі можуть поділитися своїми творами або улюбленими текстами.,19:30,Вільний мікрофон,Завершена,purple
26.03.2024,Читацький клуб: "Тіні минулого",Обговорення роману "Тіні минулого" Івана Коваленка. Глибокий аналіз сюжету та персонажів.,18:00,Читацький клуб,Завершена,yellow
02.04.2024,Лекція: Класики української літератури,Лекція про творчість Тараса Шевченка та його вплив на українську літературу.,19:00,Лекція,Завершена,red
09.04.2024,Зустріч з письменником Дмитром Іваненко,Презентація нової книги та творча зустріч з автором. Обговорення літературних тенденцій.,18:30,Зустріч,Завершена,orange
16.04.2024,Творча вправа: Літературний переклад,Воркшоп з перекладу поезії та прози. Практичні поради та вправи для перекладачів.,19:00,Творча вправа,Завершена,green
23.04.2024,Партнерська подія з бібліотекою ім. Франка,Спільна подія з бібліотекою. Презентація нових надходжень та літературна вікторина.,20:00,Партнерська,Завершена,blue
30.04.2024,Вільний мікрофон: Міжнародна поезія,Вечір читання поезії різними мовами. Знайомство з поезією світу.,19:30,Вільний мікрофон,Завершена,purple
07.05.2024,Зустріч з письменником Оленою Сидоренко,Презентація нової книги "Світло в темряві" та творча зустріч з автором. Обговорення літературних тенденцій та відповіді на питання.,19:00,Зустріч,Майбутня,orange
14.05.2024,Творча вправа: Написання роману,Практичний воркшоп з написання роману для досвідчених письменників. Структура сюжету та розвиток персонажів.,18:30,Творча вправа,Майбутня,green
21.05.2024,Партнерська подія з літературним журналом "Слово",Спільна подія з презентацією нового номера журналу та зустріччю з редакторами. Можливість опублікувати свої твори.,20:00,Партнерська,Майбутня,blue
28.05.2024,Вільний мікрофон: Молоді автори,Спеціальний вечір для молодих авторів. Презентація їхніх творів та обговорення з досвідченими письменниками.,19:30,Вільний мікрофон,Майбутня,purple
