Дата,Назва,Опис,Час,Тип,Статус,Колір
15 грудня 2024,Презентація нової книги,Зустріч з автором та обговорення творчості. Презентація нової книги українського письменника.,19:00-21:00,Зустріч,Активна,orange
22 грудня 2024,Письменницька майстерність,Практичні вправи з написання текстів. Розвиток творчих навичок та технік письменництва.,18:00-20:00,Творча вправа,Активна,green
10 грудня 2024,Лекція з класичної літератури,Спільна подія з українською бібліотекою. Обговорення класичних творів української літератури.,17:00-19:00,Партнерська,Активна,blue
29 грудня 2024,Вільний мікрофон,Презентація власної творчості учасників - прози та поезії українською мовою. Відкрита сцена для всіх.,19:00-22:00,Вільний мікрофон,Активна,purple
5 січня 2025,Читацький клуб,Обговорення сучасної української літератури. Аналіз творів та дискусії про нові тренди в літературі.,18:30-20:30,Читацький клуб,Активна,yellow
12 січня 2025,Лекція про поезію,Лекція про сучасну українську поезію та її розвиток в діаспорі. Аналіз поетичних технік.,19:00-21:00,Лекція,Активна,red
19 січня 2025,Зустріч з перекладачем,Зустріч з українським перекладачем. Обговорення роботи з іноземними текстами та культурного обміну.,20:00-22:00,Зустріч,Активна,orange
26 січня 2025,Творчий вечір,Вечір творчості з музикою та поезією. Спільне читання та обмін досвідом.,19:30-21:30,Творча вправа,Активна,green
2 лютого 2025,Лекція про прозу,Лекція про сучасну українську прозу. Аналіз романів та повістей сучасних авторів.,18:00-20:00,Лекція,Активна,red
9 лютого 2025,Партнерська зустріч,Спільна подія з культурним центром. Презентація української культури для австрійської аудиторії.,17:00-19:00,Партнерська,Активна,blue
16 лютого 2025,Вільний мікрофон,Відкрита сцена для всіх бажаючих. Презентація власної творчості та обмін досвідом.,19:00-22:00,Вільний мікрофон,Активна,purple
23 лютого 2025,Читацький клуб,Обговорення класичної української літератури. Аналіз творів Шевченка, Франка та інших класиків.,18:30-20:30,Читацький клуб,Активна,yellow
2 березня 2025,Зустріч з ілюстратором,Зустріч з українським ілюстратором. Обговорення візуального мистецтва в літературі.,19:00-21:00,Зустріч,Активна,orange
9 березня 2025,Творча майстерність,Практичні вправи з створення персонажів та сюжетних ліній. Розвиток навичок письменництва.,18:00-20:00,Творча вправа,Активна,green
16 березня 2025,Лекція про драматургію,Лекція про українську драматургію та театральне мистецтво. Аналіз п'єс та сценаріїв.,19:00-21:00,Лекція,Активна,red 
